No,Aspek,Ringkasan Butir,Validator 1,Validator 2,Validator 3,Jumlah Skor (sum r),sum s,V,Keterangan
1,Kesesuaian tujuan dan ruang lingkup,"Tujuan buku panduan dirumuskan dengan jelas sesuai fungsi dokumen sebagai panduan penggunaan.",,,,"=SUM(D2:F2)","=SUM(D2:F2)-3","=H2/12","=IF(I2>=0.8,""Validitas tinggi"",""IF(I2>=0.4,""Validitas sedang"",""Validitas rendah""))"
2,Kesesuaian tujuan dan ruang lingkup,"Sasaran pengguna buku panduan dijelaskan secara tepat sesuai peran yang dituju.",,,,"=SUM(D3:F3)","=SUM(D3:F3)-3","=H3/12","=IF(I3>=0.8,""Validitas tinggi"",""IF(I3>=0.4,""Validitas sedang"",""Validitas rendah""))"
3,Kesesuaian tujuan dan ruang lingkup,"Ruang lingkup pembahasan buku panduan sesuai dengan kebutuhan pengguna sasaran.",,,,"=SUM(D4:F4)","=SUM(D4:F4)-3","=H4/12","=IF(I4>=0.8,""Validitas tinggi"",""IF(I4>=0.4,""Validitas sedang"",""Validitas rendah""))"
4,Kesesuaian tujuan dan ruang lingkup,"Isi buku panduan tetap fokus pada konteks penggunaan yang menjadi objek panduan.",,,,"=SUM(D5:F5)","=SUM(D5:F5)-3","=H5/12","=IF(I5>=0.8,""Validitas tinggi"",""IF(I5>=0.4,""Validitas sedang"",""Validitas rendah""))"
5,Akurasi dan kelengkapan isi,"Langkah-langkah yang dijelaskan dalam buku panduan sesuai dengan alur penggunaan sistem yang sebenarnya.",,,,"=SUM(D6:F6)","=SUM(D6:F6)-3","=H6/12","=IF(I6>=0.8,""Validitas tinggi"",""IF(I6>=0.4,""Validitas sedang"",""Validitas rendah""))"
6,Akurasi dan kelengkapan isi,"Penjelasan menu, fitur, tombol, dan status pada buku panduan sesuai dengan implementasi sistem.",,,,"=SUM(D7:F7)","=SUM(D7:F7)-3","=H7/12","=IF(I7>=0.8,""Validitas tinggi"",""IF(I7>=0.4,""Validitas sedang"",""Validitas rendah""))"
7,Akurasi dan kelengkapan isi,"Istilah yang digunakan dalam buku panduan konsisten dengan istilah yang muncul pada sistem.",,,,"=SUM(D8:F8)","=SUM(D8:F8)-3","=H8/12","=IF(I8>=0.8,""Validitas tinggi"",""IF(I8>=0.4,""Validitas sedang"",""Validitas rendah""))"
8,Akurasi dan kelengkapan isi,"Penjelasan persyaratan, input, proses, dan output pada buku panduan sesuai dengan konteks layanan yang dibahas.",,,,"=SUM(D9:F9)","=SUM(D9:F9)-3","=H9/12","=IF(I9>=0.8,""Validitas tinggi"",""IF(I9>=0.4,""Validitas sedang"",""Validitas rendah""))"
9,Akurasi dan kelengkapan isi,"Buku panduan memuat tahapan penggunaan dari awal sampai akhir secara lengkap.",,,,"=SUM(D10:F10)","=SUM(D10:F10)-3","=H10/12","=IF(I10>=0.8,""Validitas tinggi"",""IF(I10>=0.4,""Validitas sedang"",""Validitas rendah""))"
10,Akurasi dan kelengkapan isi,"Buku panduan memuat penjelasan kondisi khusus yang perlu dipahami pengguna, seperti catatan, revisi, atau tindak lanjut.",,,,"=SUM(D11:F11)","=SUM(D11:F11)-3","=H11/12","=IF(I11>=0.8,""Validitas tinggi"",""IF(I11>=0.4,""Validitas sedang"",""Validitas rendah""))"
11,Akurasi dan kelengkapan isi,"Pada setiap tahap penting, buku panduan menjelaskan tindakan yang perlu dilakukan pengguna secara memadai.",,,,"=SUM(D12:F12)","=SUM(D12:F12)-3","=H12/12","=IF(I12>=0.8,""Validitas tinggi"",""IF(I12>=0.4,""Validitas sedang"",""Validitas rendah""))"
12,Akurasi dan kelengkapan isi,"Materi inti yang diperlukan pengguna untuk memahami penggunaan sistem telah tercakup dalam buku panduan.",,,,"=SUM(D13:F13)","=SUM(D13:F13)-3","=H13/12","=IF(I13>=0.8,""Validitas tinggi"",""IF(I13>=0.4,""Validitas sedang"",""Validitas rendah""))"
13,Keruntutan dan kejelasan penyajian,"Urutan penyajian materi disusun secara logis dan mudah diikuti.",,,,"=SUM(D14:F14)","=SUM(D14:F14)-3","=H14/12","=IF(I14>=0.8,""Validitas tinggi"",""IF(I14>=0.4,""Validitas sedang"",""Validitas rendah""))"
14,Keruntutan dan kejelasan penyajian,"Hubungan antara pendahuluan, penjelasan fitur, langkah operasional, dan penutup disajikan secara runtut.",,,,"=SUM(D15:F15)","=SUM(D15:F15)-3","=H15/12","=IF(I15>=0.8,""Validitas tinggi"",""IF(I15>=0.4,""Validitas sedang"",""Validitas rendah""))"
15,Keruntutan dan kejelasan penyajian,"Peralihan dari penjelasan umum ke langkah teknis disajikan dengan jelas.",,,,"=SUM(D16:F16)","=SUM(D16:F16)-3","=H16/12","=IF(I16>=0.8,""Validitas tinggi"",""IF(I16>=0.4,""Validitas sedang"",""Validitas rendah""))"
16,Keruntutan dan kejelasan penyajian,"Bahasa yang digunakan dalam buku panduan mudah dipahami oleh pengguna sasaran.",,,,"=SUM(D17:F17)","=SUM(D17:F17)-3","=H17/12","=IF(I17>=0.8,""Validitas tinggi"",""IF(I17>=0.4,""Validitas sedang"",""Validitas rendah""))"
